Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1229.0,18.0,241.0,1229.0,0.1,119.21099999999984,0.0,0.0,109.21264433860779,,,,,,,,,,,,,,,,,,,,,43.30135197805076,30.784371258548216,108.99325168340505,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1267.0,19.0,38.0,1267.0,0.1,19.80600000000002,0.0,0.0,112.81570887565613,,,,,,,,,,,,,,,,,,,,,6.268790844796854,6.633937533412801,19.606980301520462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1339.0,20.0,72.0,1339.0,0.1,40.807,0.0,0.0,119.57443284988403,,,,,,,,,,,,,,,,,,,,,14.619307885885682,13.207292538101605,39.834038074326784,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,41.0,1.0,41.0,1380.0,0.1,22.90600000000002,0.0,0.0,242.7113709449768,,,,,,,,,,,,,,,,,,,,,7.441305749462794,7.744971137381612,22.64617617043673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,103.0,2.0,62.0,1442.0,0.1,32.706,0.0,0.0,248.50961112976074,,,,,,,,,,,,,,,,,,,,,12.610353275160806,9.815890414977332,31.988102313464655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,235.0,3.0,132.0,1574.0,0.1,81.60499999999999,0.0,0.0,260.3110136985779,,,,,,,,,,,,,,,,,,,,,35.78421213650974,22.71487225919122,77.03547791833948,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,280.0,4.0,45.0,1619.0,0.1,25.30700000000002,0.0,0.0,264.6328959465027,,,,,,,,,,,,,,,,,,,,,8.254010437630772,8.45904523533401,24.985515575942927,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,345.0,5.0,65.0,1684.0,0.1,40.605999999999995,0.0,0.0,270.9982805252075,,,,,,,,,,,,,,,,,,,,,17.018386247656196,12.66469588839481,39.578923161301795,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,376.0,6.0,31.0,1715.0,0.1,18.104000000000013,0.0,0.0,274.11353373527527,,,,,,,,,,,,,,,,,,,,,6.323834564527181,6.239715777210367,17.943830846361536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,448.0,7.0,72.0,1787.0,0.1,45.906,0.0,0.0,280.82162499427795,,,,,,,,,,,,,,,,,,,,,17.17739113293707,14.239329156812898,44.75870048068943,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
